model_name,architecture_config,metric_label,mean,std,n
Llama 3.2 1B,SLM,Answer Correctness,0.3191,0.1165,250
Llama 3.2 1B,SLM,Answer Relevancy,0.8538,0.1126,250
Llama 3.2 1B,SLM,RAGAS Answer Mean,0.5865,0.082,250
Llama 3.2 1B,Text-RAG,Answer Correctness,0.365,0.1563,250
Llama 3.2 1B,Text-RAG,Answer Relevancy,0.8204,0.2102,250
Llama 3.2 1B,Text-RAG,RAGAS Answer Mean,0.5927,0.1477,250
Llama 3.2 3B,SLM,Answer Correctness,0.3782,0.1271,250
Llama 3.2 3B,SLM,Answer Relevancy,0.8724,0.1065,250
Llama 3.2 3B,SLM,RAGAS Answer Mean,0.6253,0.0854,250
Llama 3.2 3B,Text-RAG,Answer Correctness,0.455,0.1582,250
Llama 3.2 3B,Text-RAG,Answer Relevancy,0.8677,0.1141,250
Llama 3.2 3B,Text-RAG,RAGAS Answer Mean,0.6613,0.0998,250
