model_name,architecture_config,metric_label,mean,std,n
Llama 3.2 1B,Text-RAG,Answer Correctness,0.3581,0.1465,111
Llama 3.2 1B,Text-RAG,Answer Relevancy,0.8313,0.2081,111
Llama 3.2 1B,Text-RAG,Context Precision,0.4363,0.3367,111
Llama 3.2 1B,Text-RAG,Context Recall,0.6482,0.3917,111
Llama 3.2 1B,Text-RAG,Faithfulness,0.3417,0.2563,111
Llama 3.2 1B,Text-RAG,RAGAS Answer Mean,0.5947,0.1373,111
Llama 3.2 1B,Text-RAG,RAGAS Context Mean,0.4754,0.2559,111
Llama 3.2 1B,Text-RAG,RAGAS Mean,0.5231,0.1679,111
Llama 3.2 1B,Image-Text-RAG,Answer Correctness,0.382,0.1541,111
Llama 3.2 1B,Image-Text-RAG,Answer Relevancy,0.8344,0.1971,111
Llama 3.2 1B,Image-Text-RAG,Context Precision,0.3817,0.2667,111
Llama 3.2 1B,Image-Text-RAG,Context Recall,0.8009,0.3109,111
Llama 3.2 1B,Image-Text-RAG,Faithfulness,0.3883,0.2576,111
Llama 3.2 1B,Image-Text-RAG,RAGAS Answer Mean,0.6082,0.1448,111
Llama 3.2 1B,Image-Text-RAG,RAGAS Context Mean,0.5237,0.1991,111
Llama 3.2 1B,Image-Text-RAG,RAGAS Mean,0.5575,0.1325,111
Llama 3.2 1B,Image-RAG,Answer Correctness,0.3679,0.1508,111
Llama 3.2 1B,Image-RAG,Answer Relevancy,0.8566,0.1304,111
Llama 3.2 1B,Image-RAG,Context Precision,0.6862,0.451,111
Llama 3.2 1B,Image-RAG,Context Recall,0.3976,0.3989,111
Llama 3.2 1B,Image-RAG,Faithfulness,0.2015,0.2096,111
Llama 3.2 1B,Image-RAG,RAGAS Answer Mean,0.6123,0.1084,111
Llama 3.2 1B,Image-RAG,RAGAS Context Mean,0.4284,0.2942,111
Llama 3.2 1B,Image-RAG,RAGAS Mean,0.502,0.1921,111
Llama 3.2 3B,Text-RAG,Answer Correctness,0.4348,0.1523,111
Llama 3.2 3B,Text-RAG,Answer Relevancy,0.8592,0.1188,111
Llama 3.2 3B,Text-RAG,Context Precision,0.4282,0.3366,111
Llama 3.2 3B,Text-RAG,Context Recall,0.655,0.4017,111
Llama 3.2 3B,Text-RAG,Faithfulness,0.3998,0.2321,111
Llama 3.2 3B,Text-RAG,RAGAS Answer Mean,0.647,0.1049,111
Llama 3.2 3B,Text-RAG,RAGAS Context Mean,0.4943,0.2557,111
Llama 3.2 3B,Text-RAG,RAGAS Mean,0.5554,0.1756,111
Llama 3.2 3B,Image-Text-RAG,Answer Correctness,0.4662,0.1576,111
Llama 3.2 3B,Image-Text-RAG,Answer Relevancy,0.8608,0.138,111
Llama 3.2 3B,Image-Text-RAG,Context Precision,0.3956,0.2758,111
Llama 3.2 3B,Image-Text-RAG,Context Recall,0.8066,0.3151,111
Llama 3.2 3B,Image-Text-RAG,Faithfulness,0.4598,0.1935,111
Llama 3.2 3B,Image-Text-RAG,RAGAS Answer Mean,0.6635,0.1134,111
Llama 3.2 3B,Image-Text-RAG,RAGAS Context Mean,0.554,0.1964,111
Llama 3.2 3B,Image-Text-RAG,RAGAS Mean,0.5978,0.1369,111
Llama 3.2 3B,Image-RAG,Answer Correctness,0.4481,0.149,111
Llama 3.2 3B,Image-RAG,Answer Relevancy,0.8619,0.1157,111
Llama 3.2 3B,Image-RAG,Context Precision,0.6697,0.4622,111
Llama 3.2 3B,Image-RAG,Context Recall,0.4051,0.3903,111
Llama 3.2 3B,Image-RAG,Faithfulness,0.2394,0.2354,111
Llama 3.2 3B,Image-RAG,RAGAS Answer Mean,0.655,0.1005,111
Llama 3.2 3B,Image-RAG,RAGAS Context Mean,0.4381,0.315,111
Llama 3.2 3B,Image-RAG,RAGAS Mean,0.5248,0.206,111
