Section,Subsection,Question,Answer,Answer Context,Handbook Reference,Figure Numbers,Figure Captions
Generic Skills in ENT,General ENT History,"Why does the ENT doctor ask so many questions before even looking in my ear, nose, or throat?","The questions help the clinician understand the pattern, duration, severity, and possible causes of your symptoms before examining you. A careful history often narrows the likely diagnosis and helps decide which part of the ear, nose, throat, head, or neck needs focused examination.","ENT symptoms are often non-specific at first presentation, so history-taking is used to convert a broad complaint into a clinically meaningful pattern. The presenting complaint, onset, progression, previous episodes, treatment response, medical history, medication use, allergy history, family background, and quality-of-life impact all contribute to differential diagnosis and examination planning.",Generic Skills in ENT > General ENT History > Principles and structure of history taking,,
Generic Skills in ENT,General ENT History,Why did the doctor ask when my symptoms started and whether I had this problem before?,"Timing and recurrence are important because they show whether the problem is sudden, ongoing, recurrent, or worsening. This can help distinguish infections, inflammatory problems, structural issues, or chronic ENT conditions.","The history of the presenting complaint clarifies onset, duration, severity, progression, and recurrence. Previous episodes and response to earlier treatment provide diagnostic direction because recurrent symptoms may suggest chronic disease, unresolved inflammation, anatomical predisposition, or an episodic condition rather than a single isolated event.",Generic Skills in ENT > General ENT History > History of presenting complaint and previous episodes,,
Generic Skills in ENT,General ENT History,"Why was I asked about medicines, allergies, vaccines, and even bleeding or bruising when I came in for an ENT issue?","These details help assess safety and possible causes. Medicines, allergies, vaccination history, and bleeding tendency can affect diagnosis, examination, treatment options, and whether a procedure may carry extra risk.","Drug history includes prescribed and over-the-counter medication because ENT symptoms may be influenced by current treatment, and future treatment must avoid unsafe drug interactions or allergies. A systems review that includes bleeding or bruising tendency is clinically relevant before procedures, nasal bleeding assessment, or decisions involving cautery, packing, or surgery.","Generic Skills in ENT > General ENT History > Drug history, allergies, systems review",,
Generic Skills in ENT,Ear Examination,Why did the doctor look around my ear before putting the scope inside?,"The outside of the ear can show clues such as swelling, redness, scars, asymmetry, abnormal shape, infection, trauma, or previous surgery. Looking externally first helps guide the internal examination.","Ear examination begins with inspection because the pinna, pre-auricular region, and post-auricular region may reveal clinically relevant findings before otoscopy. Differences in pinna size, protrusion, scars, swelling, erythema, sinuses, fistulae, tenderness, or post-auricular swelling can indicate congenital abnormalities, infection, inflammation, trauma, mastoiditis, lymphadenitis, or previous operative history.",Generic Skills in ENT > Ear Examination > Inspection,[2],Figure 2: Congenital Microtia of the External Auditory Canal
Generic Skills in ENT,Ear Examination,Why does the doctor pull my ear upwards and backwards before looking inside?,"In adults, this helps straighten the ear canal so the eardrum can be seen more clearly. In children, the direction may be different because their ear canal anatomy is not the same as in adults.","The external auditory canal is not a straight tube, so manipulation of the pinna improves alignment for otoscopy. In adults, pulling the pinna upwards and backwards helps straighten the canal and improves visualisation of the tympanic membrane. In children, pulling downwards and backwards may provide a better view because of anatomical differences.",Generic Skills in ENT > Ear Examination > Otoscopy,[3],Figure 3: Normal right tympanic membrane
Generic Skills in ENT,Ear Examination,What is the doctor looking for when they shine the otoscope into my ear?,"The clinician checks the ear canal for wax, discharge, redness, swelling, or injury, and then checks the eardrum for colour, position, light reflex, perforation, bulging, or retraction.","Otoscopy systematically evaluates the external auditory canal and tympanic membrane. Canal wax, discharge, erythema, or swelling may indicate obstruction, infection, or trauma. Tympanic membrane colour, translucency, light reflex, position, and integrity help identify inflammation, middle-ear infection, retraction, perforation, tympanosclerosis, or other middle-ear pathology.",Generic Skills in ENT > Ear Examination > Otoscopy,[3],Figure 3: Normal right tympanic membrane
Generic Skills in ENT,Ear Examination,"What does it mean if my eardrum looks red, white, bulging, or pulled in?","These appearances can suggest different problems. Redness may occur with inflammation or infection, white plaques may suggest scarring, bulging may occur with infection, and a pulled-in eardrum can occur with pressure or middle-ear disease.","The tympanic membrane is normally greyish and translucent with a light reflex. Red or pink colouring may suggest infection or inflammation, while white plaques can indicate tympanosclerosis. Bulging suggests pressure from acute middle-ear infection, whereas retraction may occur with Eustachian tube dysfunction, chronic middle-ear disease, or cholesteatoma risk.",Generic Skills in ENT > Ear Examination > Tympanic membrane findings,[3],Figure 3: Normal right tympanic membrane
Generic Skills in ENT,Ear Examination,Why did the doctor whisper numbers and words to test my hearing?,"Whisper and speech testing provide a quick screening estimate of hearing ability. It is not as precise as a formal audiogram, but it helps identify whether further hearing tests may be needed.","Free-field speech testing is a bedside screening method for hearing loss. The clinician uses whispered, conversational, and loud voice at different distances while masking the opposite ear to reduce cross-hearing. The patient’s ability to repeat words, numbers, or child-friendly phrases provides a rough estimate of functional hearing threshold.",Generic Skills in ENT > Ear Examination > Free field speech testing,,
Generic Skills in ENT,Ear Examination,Why was a tuning fork placed on my forehead and near my ear?,"Tuning fork tests help distinguish whether hearing loss is more likely due to a problem conducting sound through the outer or middle ear, or due to inner ear or nerve-related hearing loss.","Weber’s and Rinne’s tests compare bone conduction and air conduction. Weber’s test assesses lateralisation of sound through bone conduction, while Rinne’s test compares hearing through the mastoid bone and air near the ear canal. Together, they help differentiate conductive hearing loss from sensorineural hearing loss.",Generic Skills in ENT > Ear Examination > Weber’s and Rinne’s tests,"[4,5]",Figure 4: Weber’s test || Figure 5: Rinne’s test
Generic Skills in ENT,Ear Examination,What does it mean if I hear the tuning fork better behind my ear than in front of it?,"That result can suggest conductive hearing loss in that ear, meaning sound is not travelling normally through the outer or middle ear. A clinician usually interprets this together with other findings.","In a normal ear, air conduction is louder than bone conduction, called a positive Rinne test. If bone conduction is louder than air conduction, this is a negative Rinne test and suggests external or middle-ear disease affecting sound conduction. Interpretation is strengthened by combining it with Weber’s test and otoscopy.",Generic Skills in ENT > Ear Examination > Rinne’s test interpretation,"[4,5]",Figure 4: Weber’s test || Figure 5: Rinne’s test
Generic Skills in ENT,Nasal Examination,"Why did the doctor look at my nose from the front, side, and underneath?","Different viewing angles show different features of the nose, including deviation, asymmetry, scars, collapse, bumps, tip position, and signs of previous surgery.","External nasal inspection assesses form and structural alignment. The front view reveals shape, midline deviation, asymmetry, scars, and skin changes. The side view shows dorsal profile, humps, collapse, projection, and tip rotation. The basal view helps assess nostril symmetry, deviation, and surgical scars.",Generic Skills in ENT > Nasal Examination > Inspection,"[6,7]","Figure 6: Separation of the nose into bony pyramid, cartilaginous pyramid and lobule. The upper third mostly composed of bony vault, middle third made up of dorsal septum and upper lateral cartilages, and lower third or nasal tip composed primarily of lower lateral cartilages, septum and soft tissue). || Figure 7: Upper, middle and lower thirds of the nose."
Generic Skills in ENT,Nasal Examination,What is the metal instrument used to open my nostril during examination?,"It is commonly a nasal speculum. It gently opens the nostril so the clinician can inspect the front part of the nasal cavity, including the septum, turbinates, blood vessels, and possible polyps.","Anterior rhinoscopy uses a nasal speculum and light source to examine the anterior nasal cavity. Proper handling keeps the clinician’s hand from blocking the view and allows inspection of the septum, inferior turbinates, mucosa, secretions, vessels, perforations, and visible nasal masses or polyps.",Generic Skills in ENT > Nasal Examination > Anterior rhinoscopy,[8],Figure 8: How to perform anterior rhinoscopy with a Thudicum’s speculum.
Generic Skills in ENT,Nasal Examination,"Why was the doctor looking for swelling, clear fluid, blood vessels, or polyps inside my nose?","These findings can point to common causes of blocked nose, runny nose, nosebleeds, or sinus-related symptoms. They help distinguish structural problems from inflammatory or allergic causes.","Common anterior rhinoscopy findings include septal deviation, inferior turbinate swelling, oedema, clear rhinorrhoea, septal perforation, prominent blood vessels over Little’s area, and inflammatory nasal polyps. These findings help relate symptoms to obstruction, rhinitis, epistaxis tendency, mucosal inflammation, or sinonasal pathology.",Generic Skills in ENT > Nasal Examination > Common pathological findings,"[9,10,11,12,13]",Figure 9: Septal deviation to the right || Figure 10: Right Inferior Turbinate swelling due to allergic rhinitis || Figure 11: Septal perforation when viewed through the right nasal airway || Figure 12: Prominent blood vessels overlying right Little’s area (anterior septum) || Figure 13: Left-sided inflammatory nasal polyp
Generic Skills in ENT,Nasal Examination,Why did the doctor hold a cold metal piece under my nose and ask me to breathe out?,"This is a simple way to check whether air is passing through both nostrils. Moist breath creates mist on the cold metal surface, which gives a quick impression of nasal airflow.","Nasal misting uses a cold metal tongue depressor to assess bilateral nasal patency. Humidified expired air condenses on the cold surface, producing visible mist. Because it is quick, simple, and non-invasive, it is particularly useful in children or patients who may not tolerate more invasive nasal examination.",Generic Skills in ENT > Nasal Examination > Nasal misting,[14],"Figure 14: Cold spatula misting test. The humidified expired air creates a mist on the cold metal tongue depressor. Due to its simplicity and lack of invasiveness, it is especially useful to assess bilateral nasal patency in paediatric patients."
Generic Skills in ENT,Nasal Examination,Why did the doctor lift the side of my nose or use a small probe while I breathed in?,"This checks whether narrowing or collapse of the nasal valve is contributing to your blocked nose. If breathing improves when the area is supported, it suggests that part of the obstruction may be structural.","Cottle’s and modified Cottle’s tests assess nasal valve patency and alar collapse. The internal nasal valve is the narrowest part of the nasal airway and may be narrowed by septal deviation, enlarged inferior turbinates, or collapsed nasal cartilages. Mechanical support during inspiration helps identify valve-related obstruction.",Generic Skills in ENT > Nasal Examination > Cottle’s and modified Cottle’s test,[15],Figure 15: Modified Cottle’s test
Generic Skills in ENT,Nasal Examination,Why might an ENT doctor pass a flexible camera through my nose?,"Flexible nasendoscopy allows a more complete view of the nasal cavity and areas beyond it, including sinus drainage pathways, the post-nasal space, throat, voice box, and lower throat.","Flexible nasendoscopy provides direct endoscopic assessment beyond what anterior rhinoscopy can show. It permits inspection of the nasal cavity, sinus drainage pathways, post-nasal space, Eustachian tube orifice, fossa of Rosenmüller, oropharynx, larynx, and hypopharynx, helping detect pathology hidden from simple anterior examination.",Generic Skills in ENT > Nasal Examination > Flexible nasendoscopy,"[16,17,18]",Figure 16: Endoscopic view of the right anterior nasal cavity. || Figure 17: Endoscopic view of the right middle metal region. || Figure 18: Endoscopic view of the right post-nasal space. The Eustachian tube orifice is where the middle ear drains down into the nasal cavity. The Fossa of Rosenmueller is an important place to check for pathology such as nasopharyngeal carcinoma.
Generic Skills in ENT,Neck and Thyroid Status Exam,Why did the doctor ask me to swallow while feeling the lump in my neck?,A lump that moves upward when you swallow may be related to the thyroid gland. This helps the clinician decide whether the swelling is likely thyroid-related or from another neck structure.,"Neck palpation uses movement with swallowing to assess anatomical origin. Thyroid tissue usually elevates during swallowing because of its relationship with the larynx and pretracheal fascia. Observing or feeling upward movement helps distinguish thyroid swellings from other neck masses such as lymph nodes, cysts, or soft tissue lesions.",Generic Skills in ENT > Neck and thyroid status exam > Palpation,[19],Figure 19: Correct hand position for thyroid examination
Generic Skills in ENT,Neck and Thyroid Status Exam,Why did the doctor ask me to stick my tongue out while checking a lump under my chin or in the middle of my neck?,A midline lump that moves when the tongue is protruded may suggest a thyroglossal cyst. This movement gives a clue about where the lump comes from.,Midline neck masses are assessed dynamically. A thyroglossal cyst may move upward when the tongue is protruded because it is related to the embryological tract between the tongue base and thyroid region. This sign helps separate thyroglossal lesions from other midline or thyroid-related swellings.,Generic Skills in ENT > Neck and thyroid status exam > Tongue protrusion test,[19],Figure 19: Correct hand position for thyroid examination
Generic Skills in ENT,Neck and Thyroid Status Exam,"Why did the doctor feel different areas under my jaw, behind my ears, and above my collarbone?","The clinician was checking the lymph nodes of the neck. Enlarged lymph nodes can occur with infection, inflammation, or more serious causes, so their location and features are important.","Systematic lymph node examination includes submental, submandibular, pre-auricular, post-auricular, occipital, anterior cervical, posterior cervical, and supraclavicular regions. Distribution, tenderness, consistency, size, fixation, and associated neck findings help differentiate inflammatory, infective, and neoplastic patterns.",Generic Skills in ENT > Neck and thyroid status exam > Lymph node examination,,
Generic Skills in ENT,Neck and Thyroid Status Exam,Why did the doctor listen to my thyroid with a stethoscope?,"Listening over the thyroid can detect a bruit, which is a sound caused by increased blood flow. This may be seen in some overactive thyroid conditions.","Thyroid auscultation is used to detect a bruit, which reflects increased vascular flow through the gland. In the appropriate clinical context, this may support hyperthyroidism. It is interpreted alongside pulse rate, hand signs, sweating, tremor, eye signs, and other thyroid status findings.",Generic Skills in ENT > Neck and thyroid status exam > Auscultation,,
Generic Skills in ENT,Neck and Thyroid Status Exam,"Why did the doctor check my hands, pulse, eyes, and ankle reflexes during a thyroid examination?","Thyroid disease can affect the whole body, not just the neck. The doctor checks for signs of overactive or underactive thyroid function, such as tremor, sweating, pulse changes, eye changes, or altered reflexes.","Thyroid status examination assesses systemic signs. Hyperthyroidism may produce tremor, sweating, warm hands, palmar erythema, tachycardia, atrial fibrillation, thyroid acropachy, lid lag, Graves’ eye disease, and brisk reflexes. Hypothyroidism may produce bradycardia, characteristic facial complexion, eyebrow thinning, pretibial myxoedema, and slowed reflex responses.",Generic Skills in ENT > Neck and thyroid status exam > Thyroid status examination,"[20,21]",Figure 20: Thyroid acropachy. || Figure 21: Proptosis secondary to thyroid eye disease.
Generic Skills in ENT,Neck and Thyroid Status Exam,Why was I asked to raise my arms above my head during a thyroid check?,"This checks whether a large thyroid swelling is pressing into the upper chest area. If raising the arms causes facial congestion, neck vein swelling, or voice change, it may suggest pressure from a retrosternal goitre.","Pemberton’s test assesses possible thoracic outlet or superior vena cava obstruction from a retrosternal goitre. Raising the arms may provoke facial or neck venous congestion and hoarseness if the enlarged thyroid compresses structures at the thoracic inlet. It is used as an adjunct to inspection, palpation, percussion, and thyroid status assessment.",Generic Skills in ENT > Neck and thyroid status exam > Pemberton’s test,,
Generic Skills in ENT,Cranial Nerves Examination,Why did the doctor check my eye movements during an ENT appointment?,"Eye movements can be affected by skull base problems, orbital infection, or complications of ear disease. This check helps identify whether symptoms involve nerves beyond the ear, nose, or throat alone.","Examination of optic and ocular motor nerves assesses colour vision and eye movements. These functions may be affected by skull base tumours or orbital infections. In otology, Gradenigo’s syndrome is a recognised complication of acute otitis media involving unilateral periorbital pain, diplopia from sixth nerve palsy, and petrositis.","Generic Skills in ENT > Cranial Nerves Examination > CN II, III, IV, VI",,
Generic Skills in ENT,Cranial Nerves Examination,Why did the doctor touch different parts of my face with cotton wool?,"This checks the sensory branches of the trigeminal nerve, which supplies feeling to the forehead, cheek, and jaw areas. Unequal sensation can help localise nerve involvement.","The trigeminal nerve has sensory divisions over the ophthalmic, maxillary, and mandibular territories. Light touch testing compares left and right forehead, cheek, and mandibular regions. This is paired with motor assessment of masseter, temporalis, and pterygoid function to identify sensory or motor trigeminal impairment.",Generic Skills in ENT > Cranial Nerves Examination > CN V,,
Generic Skills in ENT,Cranial Nerves Examination,"Why did the clinician ask me to raise my eyebrows, close my eyes tightly, puff my cheeks, and smile?","These movements test the facial nerve, which controls the muscles of facial expression. Weakness patterns can help determine the type and possible location of facial nerve involvement.","Facial nerve examination assesses resting tone and motor function across branches emerging through the parotid gland. Raising the eyebrows, closing the eyes tightly, puffing the cheeks, smiling, and grimacing test facial expression muscles. Forehead involvement helps distinguish lower motor neuron facial palsy from forehead-sparing patterns.",Generic Skills in ENT > Cranial Nerves Examination > CN VII,,
Generic Skills in ENT,Cranial Nerves Examination,Why did the doctor ask me to say “ah” and listen to my voice and cough?,"This checks nerves involved in the throat, palate, voice, and swallowing. Voice change, weak cough, or abnormal palate movement can suggest vagus or related nerve problems.","Glossopharyngeal and vagus nerve assessment includes palate movement during phonation, uvular deviation, voice quality, cough strength, swallowing, and gag reflex. A bovine-sounding cough or hoarseness may suggest recurrent laryngeal nerve involvement, while uvular deviation helps localise palatal weakness.",Generic Skills in ENT > Cranial Nerves Examination > CN IX and CN X,,
Generic Skills in ENT,Cranial Nerves Examination,"Why did the doctor ask me to shrug my shoulders, turn my head, and stick out my tongue?","These movements test the accessory and hypoglossal nerves. They help assess neck muscle strength and tongue movement, which can be affected by nerve problems in the head and neck region.","The accessory nerve is examined by shoulder shrug against resistance for trapezius function and head turn for sternocleidomastoid function. The hypoglossal nerve is assessed by inspecting tongue bulk, moving the tongue side to side, and protrusion; deviation of the tongue tip occurs toward the side of the lesion.",Generic Skills in ENT > Cranial Nerves Examination > CN XI and CN XII,,
Otology,Ear Anatomy,Why does the doctor say the ear has three parts when I only see the outside part?,"The visible ear is only the external part. The ear also has a middle ear behind the eardrum and an inner ear deeper in the temporal bone, which are important for hearing and balance.","The ear is divided into external, middle, and inner components. The external ear collects sound and leads it through the ear canal to the tympanic membrane. The middle ear contains an air-filled cavity and ossicles that transmit and amplify sound. The inner ear contains the cochlea for hearing transduction and vestibular organs for balance detection.","Otology > Ear Anatomy > External, middle, and inner ear; revised PDF pp. 43–49",[22],Figure 22: External auditory canal and middle ear (Elf-ENT)
Otology,Ear Anatomy,Why can an injury to the outer ear turn into a cauliflower-looking ear?,"The ear cartilage depends on its covering layer for nutrition. If blood, infection, or inflammation separates that layer from the cartilage after trauma, the cartilage can be damaged and heal with deformity.","The pinna is composed mainly of elastic cartilage covered by perichondrium. When trauma separates cartilage from perichondrium, cartilage nutrition is compromised. Blood collection, infection, or inflammation can lead to cartilage necrosis and later fibrotic deformity, producing the characteristic cauliflower ear appearance.",Otology > Ear Anatomy > Cauliflower ear; revised PDF p. 45,[24],"Figure 24: Cauliflower ear (reproduced with permission from Otolaryngology Houston, www.ghoryeb.com)."
Otology,Ear Anatomy,Why can ear problems affect both hearing and balance?,"The inner ear contains structures for both hearing and balance. The cochlea handles sound, while the semicircular canals, utricle, and saccule detect head movement and position.","The cochlea converts sound energy into electrical impulses interpreted by the brain. The semicircular canals detect angular head acceleration, while the utricle and saccule detect linear acceleration. Because these sensory structures are anatomically close within the inner ear, inner-ear disease may produce hearing symptoms, balance symptoms, or both.",Otology > Ear Anatomy > Inner ear functions; revised PDF p. 49,,
Otology,Dizziness and Vertigo,I feel like the room is spinning. Is that different from just feeling dizzy?,"Yes. A spinning sensation is called true vertigo and is different from general light-headedness or imbalance. The distinction helps determine whether the problem is likely related to the inner ear, brain, or another system.","True vertigo is classically experienced as spinning or movement of the environment. It must be distinguished from disequilibrium, faintness, or non-specific dizziness because the pattern of symptoms directs the diagnostic pathway. Duration, frequency, onset, and associated hearing symptoms help differentiate peripheral vestibular disease from central causes.",Otology > Dizziness and Vertigo > Description and differential approach; revised PDF p. 50,,
Otology,Dizziness and Vertigo,Why does the ENT doctor ask how long my spinning attacks last?,"The duration of vertigo attacks is one of the most useful clues. Brief position-triggered attacks, prolonged continuous vertigo, and repeated attacks with hearing symptoms suggest different causes.","Vertigo disorders are separated clinically by onset, frequency, duration, and associated audiovestibular symptoms. BPPV is usually positional and brief, vestibular neuritis may cause continuous vertigo for more than 24 hours, Meniere’s disease is associated with fluctuating hearing loss and aural fullness, and vestibular migraine may last minutes to days.",Otology > Dizziness and Vertigo > Causes and symptoms; revised PDF pp. 50–51,,
Otology,Dizziness and Vertigo,Why do I get dizzy when I turn over in bed or move my head quickly?,"That pattern can fit benign paroxysmal positional vertigo, or BPPV. It is commonly triggered by head movement and is often assessed using the Dix-Hallpike test.","BPPV is a common cause of true vertigo and typically causes rotatory vertigo with head movement. A positive Dix-Hallpike test supports the diagnosis. The mechanism involves displaced otoconia within the vestibular system, and repositioning manoeuvres aim to move these crystals away from the sensitive canal region.",Otology > Dizziness and Vertigo > BPPV; revised PDF pp. 50–52,,
Otology,Dizziness and Vertigo,"Why does my dizziness come with ear fullness, ringing, and changing hearing?","Vertigo with fluctuating hearing loss, tinnitus, and a feeling of fullness in the ear can suggest Meniere’s disease. The clinician will consider this pattern alongside examination and hearing tests.","Meniere’s disease produces rotatory vertigo associated with fluctuating hearing loss, often affecting low-frequency thresholds. Tinnitus may worsen during attacks, and aural fullness can precede vertigo. The underlying mechanism is thought to involve endolymphatic hydrops, and treatment is adjusted according to severity and response.",Otology > Dizziness and Vertigo > Meniere’s disease; revised PDF pp. 51–52,,
Otology,Dizziness and Vertigo,Why might migraine be considered when I came in for vertigo but do not always have a headache?,"Vestibular migraine can cause vertigo even when headache or visual symptoms are not obvious. The clinician may ask about light sensitivity, sound sensitivity, sleep, food triggers, and stress patterns.","Vestibular migraine can present with rotatory vertigo lasting minutes, hours, or days. Headache, photophobia, visual disturbance, and phonophobia may occur but are not always present. Because symptoms can overlap with other vestibular disorders, trigger history and symptom diaries are useful in identifying migraine-related vestibular episodes.",Otology > Dizziness and Vertigo > Vestibular migraine; revised PDF pp. 51–52,,
Otology,Hearing Loss,Why does the doctor want to know if my hearing loss came on suddenly or slowly?,"The timing helps determine urgency and likely cause. Sudden hearing loss may need prompt investigation, while gradual hearing loss may suggest age-related, noise-related, conductive, or chronic middle-ear causes.","Hearing loss is assessed by onset, laterality, and associated otological or neuro-otological symptoms. Sudden sensorineural loss may be associated with tinnitus or vertigo and warrants investigation, whereas gradual bilateral loss may suggest presbyacusis or noise-induced damage. Conductive causes include wax, effusion, perforation, otosclerosis, and cholesteatoma.",Otology > Hearing Loss > History and causes; revised PDF pp. 53–54,,
Otology,Hearing Loss,What is the difference between conductive and nerve-related hearing loss?,Conductive hearing loss means sound is not travelling efficiently through the outer or middle ear. Sensorineural hearing loss means the inner ear or hearing nerve pathway is affected.,"Conductive hearing loss arises when sound transmission through the external canal, tympanic membrane, or middle ear is impaired. Sensorineural hearing loss arises from cochlear or neural dysfunction. Pure tone audiometry and tuning fork tests are complementary because they help distinguish air-bone gaps from inner-ear or nerve-related threshold changes.",Otology > Hearing Loss > Conductive and sensorineural hearing loss; revised PDF pp. 53–54,,
Otology,Hearing Loss,Can earwax really cause hearing loss?,"Yes, but usually only if it blocks the ear canal enough to prevent sound from passing through properly. The clinician can confirm this by examining the ear.","Excessive cerumen can produce conductive hearing loss when it occludes the external auditory canal. Patients may describe a blocked sensation. Otoscopy identifies canal obstruction, and management may include softening drops, microsuction, a Jobson Horne probe, or syringing in appropriate primary-care settings.",Otology > Hearing Loss > Excessive earwax and management; revised PDF pp. 53–55,,
Otology,Hearing Loss,Why might an MRI be suggested for hearing loss in only one ear?,"One-sided or asymmetrical sensorineural hearing loss may need MRI to exclude a vestibular schwannoma, also called an acoustic neuroma.","Asymmetrical sensorineural hearing loss with normal otoscopy can indicate retrocochlear pathology. MRI is used to assess for vestibular schwannoma and other cerebellopontine angle lesions. This is particularly relevant when hearing loss is unilateral, unexplained, or associated with tinnitus or vestibular symptoms.",Otology > Hearing Loss > Sensorineural hearing loss; revised PDF p. 54,,
Otology,Hearing Loss,Why was I told a hearing operation may not guarantee better hearing even if it repairs the eardrum?,"Some procedures mainly aim to stop recurrent infection or make the ear safer and drier. Hearing may improve after repair, but this is not always guaranteed.","Tympanoplasty uses cartilage or temporalis fascia to repair tympanic membrane perforation. The operation may improve hearing by restoring the drum’s integrity, but its usual indications include preventing recurrent ear infection and waterproofing the ear. The final hearing result depends on middle-ear condition, ossicular function, and coexisting disease.",Otology > Hearing Loss > Surgical management; revised PDF p. 55,,
Otology,Tinnitus,Why do I hear ringing even when there is no sound around me?,"This is called tinnitus. It means you perceive sound without an external sound source, and it is commonly associated with hearing loss or other ear-related causes.","Tinnitus is the perception of sound in the absence of an external stimulus. It may be subjective, heard only by the patient, or objective, detectable by an examiner. Environmental sound often masks tinnitus, so symptoms may become more noticeable in quiet surroundings, particularly at night.",Otology > Tinnitus > Description; revised PDF p. 56,,
